encoder,case,arm,seed,test_mae,best_epoch,lr,n_params
schnet,md17:benzene,scratch,456,0.8432720532417297,43,0.0001,266593
schnet,md17:ethanol,pretrained,42,1.640094362258911,44,0.0001,266593
schnet,md17:ethanol,pretrained,123,1.3224223899841308,47,0.0001,266593
schnet,md17:ethanol,pretrained,456,1.4065730724334715,49,0.0001,266593
schnet,md17:ethanol,scratch,42,1.5154036026000977,48,0.0001,266593
schnet,md17:ethanol,scratch,123,1.2455984535217286,43,0.0001,266593
schnet,md17:ethanol,scratch,456,1.3058650331497192,46,0.0001,266593
schnet,qm9:gap,pretrained,42,0.0951842031478881,50,0.0001,266593
schnet,qm9:gap,pretrained,123,0.1037560669660568,47,0.0001,266593
schnet,qm9:gap,pretrained,456,0.1004248601675033,50,0.0001,266593
schnet,qm9:gap,scratch,42,0.1119584629774093,42,0.0001,266593
schnet,qm9:gap,scratch,123,0.1151154813289642,50,0.0001,266593
schnet,qm9:gap,scratch,456,0.1197056912899017,47,0.0001,266593
schnet,qm9:homo,pretrained,42,0.0776779613018035,41,0.0001,266593
schnet,qm9:homo,pretrained,123,0.0757439284801483,48,0.0001,266593
schnet,qm9:homo,pretrained,456,0.0766188435554504,49,0.0001,266593
schnet,qm9:homo,scratch,42,0.089806185054779,42,0.0001,266593
schnet,qm9:homo,scratch,123,0.0868435976982116,50,0.0001,266593
schnet,qm9:homo,scratch,456,0.0797189376115799,50,0.0001,266593
schnet,qm9:lumo,pretrained,42,0.0577110451638698,49,0.0001,266593
schnet,qm9:lumo,pretrained,123,0.063133924305439,50,0.0001,266593
schnet,qm9:lumo,pretrained,456,0.0586763632655143,50,0.0001,266593
schnet,qm9:lumo,scratch,42,0.0722996422767639,45,0.0001,266593
schnet,qm9:lumo,scratch,123,0.073034592616558,48,0.0001,266593
schnet,qm9:lumo,scratch,456,0.0690130145311355,48,0.0001,266593
