target,mode,seed,n_params,best_epoch,best_val_loss,test_mae,test_rmse,n_train,n_val,n_test
dipole_mag_d,all_channels,42,343542,27,0.0995190067249432,0.7897043824195862,1.0412553548812866,2280,285,285
dipole_mag_d,masked_encoding_channels,42,343542,14,0.1376247104845548,1.0399792194366455,1.2204872369766235,2280,285,285
dipole_mag_d,only_encoding_channels,42,343542,20,0.0801757816682782,0.6258013844490051,0.9232944250106812,2280,285,285
dipole_mag_d,all_channels,123,343542,7,0.1486035802385263,1.3068290948867798,1.6650527715682983,2280,285,285
dipole_mag_d,masked_encoding_channels,123,343542,24,0.1257663974897903,1.1587369441986084,1.589932203292847,2280,285,285
dipole_mag_d,only_encoding_channels,123,343542,33,0.0625968949183037,0.5759011507034302,0.8329200744628906,2280,285,285
dipole_mag_d,all_channels,456,343542,45,0.0925350610362856,0.803734302520752,0.9950873851776124,2280,285,285
dipole_mag_d,masked_encoding_channels,456,343542,11,0.1143135253797497,0.973979949951172,1.3331812620162964,2280,285,285
dipole_mag_d,only_encoding_channels,456,343542,14,0.0677688968024755,0.6422635912895203,1.1060373783111572,2280,285,285
q_absmean,all_channels,42,343542,29,0.1176505585511525,0.0678135901689529,0.0794268995523452,2280,285,285
q_absmean,masked_encoding_channels,42,343542,42,0.0933865657239629,0.0568776167929172,0.0763879269361496,2280,285,285
q_absmean,only_encoding_channels,42,343542,30,0.1274502325999109,0.0717051699757576,0.0831793919205665,2280,285,285
q_absmean,all_channels,123,343542,17,0.1046445404751259,0.0620211213827133,0.0791452303528785,2280,285,285
q_absmean,masked_encoding_channels,123,343542,6,0.1457628051701344,0.0842025876045227,0.1136838048696518,2280,285,285
q_absmean,only_encoding_channels,123,343542,14,0.0756879087602883,0.0459605269134044,0.0620400458574295,2280,285,285
q_absmean,all_channels,456,343542,5,0.1336467193406925,0.0920388326048851,0.1398479044437408,2280,285,285
q_absmean,masked_encoding_channels,456,343542,27,0.1180976747159372,0.0800253003835678,0.1054530665278434,2280,285,285
q_absmean,only_encoding_channels,456,343542,20,0.0844064721935673,0.0542360693216323,0.0734232887625694,2280,285,285
q_maxabs,all_channels,42,343542,25,0.0865020992985942,0.0485415197908878,0.0655431225895881,2280,285,285
q_maxabs,masked_encoding_channels,42,343542,42,0.1206153303123357,0.0735297873616218,0.0929824560880661,2280,285,285
q_maxabs,only_encoding_channels,42,343542,7,0.1525971724798804,0.0839143469929695,0.1010659784078598,2280,285,285
q_maxabs,all_channels,123,343542,19,0.0792992876287092,0.0445217005908489,0.0660580694675445,2280,285,285
q_maxabs,masked_encoding_channels,123,343542,17,0.1380437167590124,0.0839765593409538,0.1110005751252174,2280,285,285
q_maxabs,only_encoding_channels,123,343542,45,0.0725955342253049,0.0449286326766014,0.0625173300504684,2280,285,285
q_maxabs,all_channels,456,343542,39,0.0849776353752403,0.0576545968651771,0.071159154176712,2280,285,285
q_maxabs,masked_encoding_channels,456,343542,46,0.0914694988152437,0.0620912797749042,0.0841697826981544,2280,285,285
q_maxabs,only_encoding_channels,456,343542,26,0.0387662592294969,0.0271266903728246,0.0465237013995647,2280,285,285
q_std,all_channels,42,343542,33,0.1203578982959713,0.0701954588294029,0.0831887796521186,2280,285,285
q_std,masked_encoding_channels,42,343542,16,0.1245179059474091,0.0741721540689468,0.0945474505424499,2280,285,285
q_std,only_encoding_channels,42,343542,17,0.1118154686009674,0.0632106959819793,0.0777182653546333,2280,285,285
q_std,all_channels,123,343542,31,0.0982653704390191,0.0587544813752174,0.079364538192749,2280,285,285
q_std,masked_encoding_channels,123,343542,26,0.1030709327835785,0.062817707657814,0.0838279351592063,2280,285,285
q_std,only_encoding_channels,123,343542,39,0.0750804321807727,0.0503828823566436,0.074267104268074,2280,285,285
q_std,all_channels,456,343542,12,0.1396410375833511,0.0879831686615943,0.119686409831047,2280,285,285
q_std,masked_encoding_channels,456,343542,33,0.1065242566037596,0.0746661573648452,0.106927677989006,2280,285,285
q_std,only_encoding_channels,456,343542,36,0.1253201063003456,0.0830259621143341,0.1114492639899253,2280,285,285
